name,price,rating,stock,category
Castle In The Darkness,"76,99 €",3 / 5,In stock,"Action, Platformer, 2D"
BioShock Infinite: Burial at Sea - Episode One,"82,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Volgarr the Viking,"78,99 €",3 / 5,In stock,"Action, General"
Deathsmiles,"84,99 €",3 / 5,Out of Stock,"Action, Shooter, Scrolling, ""Shoot-Em-Up"", Horizontal"
Bubble Bobble Plus!,"57,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Chessmaster LIVE,"69,99 €",3 / 5,Out of Stock,"Miscellaneous, Board Games, Board / Card Game"
MVP 07 NCAA Baseball,"84,99 €",3 / 5,In stock,"Sports, Traditional, Baseball, Sim"
Dominions II: The Ascension Wars,"72,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Fantasy, General"
Spyro 2: Season of Flame,"71,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Harvest Moon: Save the Homeland,"86,99 €",3 / 5,Out of Stock,"Strategy, Breeding/Constructing"
Boxing Fever,"76,99 €",3 / 5,In stock,"Sports, Traditional, Boxing"
Sega Bass Fishing 2,"83,99 €",3 / 5,Out of Stock,"Sports, Nature, Fishing"
Toy Story Racer,"83,99 €",3 / 5,In stock,"Driving, Racing, Kart"
Star Wars Episode I: Jedi Power Battles,"81,99 €",3 / 5,Out of Stock,"Action, ""Beat-Em-Up"""
Star Trek: Invasion,"76,99 €",3 / 5,In stock,"Simulation, Sci-Fi, Small Spaceship"
Twisted Metal,"79,99 €",3 / 5,Out of Stock,"Simulation, Driving, Car Combat, Vehicle, Combat"
WindJammers,"68,99 €",3 / 5,In stock,"Sports, Individual, Other"
Super Mario Party,"71,99 €",3 / 5,Out of Stock,"Miscellaneous, Party / Minigame"
Mario & Luigi: Paper Jam,"74,99 €",3 / 5,In stock,"Role-Playing, Japanese-Style"
Divinity: Dragon Commander,"71,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Penny Arcade Adventures: Episode One,"76,99 €",3 / 5,In stock,"Adventure, General"
Sushi Striker: The Way of Sushido,"77,99 €",3 / 5,Out of Stock,"Puzzle, Matching"
Donkey Konga,"79,99 €",3 / 5,In stock,"Miscellaneous, Rhythm, Music"
Zuma's Revenge!,"70,99 €",3 / 5,Out of Stock,"Miscellaneous, Puzzle, Action"
MLB 12: The Show,"77,99 €",3 / 5,In stock,"Sports, Traditional, Team, Baseball, Sim"
The Denpa Men 2: Beyond the Waves,"64,99 €",3 / 5,Out of Stock,"Role-Playing, General"
Rush for Berlin,"75,99 €",3 / 5,N/A,"Strategy, Real-Time, Historic, General"
Masquerada: Songs and Shadows,"76,99 €",3 / 5,N/A,"Strategy, Turn-Based, Tactics"
Tales From Space: About a Blob,"76,99 €",3 / 5,N/A,"Action, Platformer, 2D"
Nioh: Dragon of the North,"77,99 €",3 / 5,N/A,"Role-Playing, Action RPG"
Shadow Hearts: From the New World,"83,99 €",3 / 5,In stock,"Role-Playing, Console-style RPG"
PixelJunk SideScroller,"70,99 €",3 / 5,Out of Stock,"Action, Shooter, Scrolling, ""Shoot-Em-Up"", Horizontal"
Fantasy Strike,"75,99 €",3 / 5,In stock,"Action, Fighting, 2D"
Azure Striker Gunvolt 2,"78,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Phoenix Wright: Ace Attorney - Justice for All,"86,99 €",3 / 5,In stock,"Adventure, First-Person, Visual Novel, Modern"
Kirby Super Star Ultra,"88,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Candleman: The Complete Journey,"63,99 €",3 / 5,In stock,"Action, Platformer, 3D"
MAG,"82,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Modern, Tactical, Arcade"
Metal Slug 3,"54,99 €",3 / 5,In stock,"Action, Shooter, Scrolling"
Momodora: Reverie Under the Moonlight,"73,99 €",3 / 5,Out of Stock,"Action, Action Adventure, General, Open-World"
Minutes,"72,99 €",3 / 5,In stock,"Action, General"
Spec Ops: The Line,"82,99 €",3 / 5,Out of Stock,"Action, Shooter, Third-Person, Tactical, Modern"
SingStar Vol. 2,"76,99 €",3 / 5,In stock,"Action, Miscellaneous, Rhythm, Music"
SuperEpic: The Entertainment War,"78,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Sundered: Eldritch Edition,"76,99 €",3 / 5,In stock,"Action Adventure, General"
Deponia Doomsday,"71,99 €",3 / 5,Out of Stock,"Adventure, Point-and-Click"
Dr. Mario Express,"73,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, General, Matching"
Ever Oasis,"81,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Final Fantasy Fables: Chocobo's Dungeon,"80,99 €",3 / 5,In stock,"Role-Playing, Action RPG, Roguelike"
Phantasy Star Collection,"82,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
Beach Spikers: Virtua Beach Volleyball,"83,99 €",3 / 5,In stock,"Sports, Traditional, Volleyball"
Pac-Man 99,"83,99 €",3 / 5,Out of Stock,"Action, Arcade"
EA Sports UFC 2,"57,99 €",3 / 5,In stock,"Sports, General, Individual, Combat, Boxing / Martial Arts"
Pillars of Eternity: The White March - Part 1,"76,99 €",3 / 5,Out of Stock,"Role-Playing, Western-Style"
Room to Grow,"76,99 €",3 / 5,In stock,"Puzzle, General"
Bombslinger,"71,99 €",3 / 5,Out of Stock,"Puzzle, Action"
Skylanders SuperChargers,"54,99 €",3 / 5,In stock,"Action, Platformer, 3D"
Brave Story: New Traveler,"77,99 €",3 / 5,Out of Stock,"Role-Playing, General, Japanese-Style"
ATV Offroad Fury Pro,"75,99 €",3 / 5,N/A,"Driving, Racing, Simulation, Rally / Offroad, Automobile"
Fallout 3: The Pitt,"73,99 €",3 / 5,Out of Stock,"Role-Playing, First-Person, Western-Style"
Hot Shots Golf: World Invitational,"81,99 €",3 / 5,In stock,"Sports, Traditional, Individual, Golf, Arcade"
The Sims 3,"75,99 €",3 / 5,Out of Stock,"Simulation, Miscellaneous, Virtual Life, Virtual"
Broken Lines,"71,99 €",3 / 5,In stock,"Strategy, Turn-Based, Tactics"
Bit.Trip Runner,"80,99 €",3 / 5,Out of Stock,"Action, Miscellaneous, Rhythm, Music"
Ultimate Block Party,"76,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, General"
Cat Quest II: The Lupus Empire,"74,99 €",3 / 5,Out of Stock,"Action, Role-Playing, General, Action RPG"
Kingdom Hearts: Chain of Memories,"87,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Mighty Gunvolt Burst,"77,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
R.U.S.E.,"80,99 €",3 / 5,In stock,"Strategy, Real-Time, Historic, General"
Burn Zombie Burn,"77,99 €",3 / 5,Out of Stock,"Action, Shooter, Third-Person, ""Shoot-Em-Up"", Fantasy, Arcade, Top-Down"
Elliot Quest,"72,99 €",3 / 5,In stock,"Adventure, General"
Rhythm Thief & the Emperor's Treasure,"81,99 €",3 / 5,Out of Stock,"Action, Miscellaneous, Rhythm, Puzzle, General, Music"
7th Dragon III Code: VFD,"79,99 €",3 / 5,In stock,"General, Role-Playing, Japanese-Style"
The Ship,"71,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Historic, Arcade"
EverQuest II: Kingdom of Sky,"66,99 €",3 / 5,In stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
LawBreakers,"58,99 €",3 / 5,Out of Stock,"Third-Person, Arcade, Action, Shooter, First-Person, Tactical"
Kingdom Come: Deliverance,"80,99 €",3 / 5,In stock,"Action Adventure, General, Historic, Role-Playing, Action RPG"
Shadowrun Returns,"75,99 €",3 / 5,Out of Stock,"Role-Playing, General"
Star Fox Command,"70,99 €",3 / 5,In stock,"Action, Simulation, Shooter, Flight, Third-Person, Combat, Sci-Fi, Arcade"
Lode Runner,"72,99 €",3 / 5,Out of Stock,"Miscellaneous, Puzzle, Action, Platformer, 2D"
City Life,"75,99 €",3 / 5,In stock,"Strategy, Breeding/Constructing, Management, Government"
Days Gone,"86,99 €",3 / 5,Out of Stock,"Action Adventure, Open-World"
Alien Front Online,"77,99 €",3 / 5,In stock,"Action, Shooter, Third-Person, Sci-Fi"
Tokyo Xtreme Racer Zero,"88,99 €",3 / 5,Out of Stock,"Driving, Racing, GT / Street"
Sega Smash Pack Volume 1,"75,99 €",3 / 5,In stock,"Miscellaneous, Compilation"
Mega Man Legends 2,"88,99 €",3 / 5,Out of Stock,"Adventure, General"
WWE Day of Reckoning 2,"61,99 €",3 / 5,In stock,"Action, Fighting, Wrestling"
Disney DuckTales Remastered,"80,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Undertow,"76,99 €",3 / 5,In stock,"Action, General, Shooter, ""Shoot-Em-Up"", Horizontal"
Streets of Rage 2,"85,99 €",3 / 5,Out of Stock,"Action, ""Beat-Em-Up"", 2D"
Kung Fu Panda,"76,99 €",3 / 5,N/A,"Action, Platformer, 3D"
"WarioWare, Inc.: Mega Party Game$!","81,99 €",3 / 5,N/A,"Miscellaneous, Puzzle, General"
One Piece: Pirate Warriors 3 - Deluxe Edition,"82,99 €",3 / 5,In stock,"Action, ""Beat-Em-Up"", 3D"
Plants vs Zombies: Garden Warfare,"74,99 €",3 / 5,Out of Stock,"General, Action, Shooter, Third-Person, Tactical"
Samurai Warriors 4,"77,99 €",3 / 5,In stock,"Action, ""Beat-Em-Up"", 3D"
The Wolf Among Us: Episode 2 - Smoke and Mirrors,"83,99 €",3 / 5,Out of Stock,"Fantasy, Action Adventure, Adventure, General, Point-and-Click"
Field of Glory: Empires,"69,99 €",3 / 5,In stock,"Strategy, Turn-Based, 4X"
Pathologic Classic HD,"88,99 €",3 / 5,Out of Stock,"Adventure, 3D, First-Person"
The Bard's Tale,"78,99 €",3 / 5,In stock,"Role-Playing, Third-Person"
Crimson Shroud,"80,99 €",3 / 5,Out of Stock,"Role-Playing, General, Console-style RPG"
OMNO,"69,99 €",3 / 5,In stock,"Adventure, 3D, Third-Person"
Hunt: Showdown,"67,99 €",3 / 5,Out of Stock,"Sci-Fi, Third-Person, Arcade, Action, Shooter, First-Person, Tactical"
Klaus,"72,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Gigantic,"83,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, MOBA"
Behind the Frame: The Finest Scenery,"86,99 €",3 / 5,In stock,"Adventure, General"
Insurmountable,"76,99 €",3 / 5,Out of Stock,"Action Adventure, Adventure, 3D, Survival, Third-Person"
Marvel's Spider-Man: The Heist,"68,99 €",3 / 5,In stock,"Action Adventure, Open-World"
Dragon Age II: Mark of the Assassin,"55,99 €",3 / 5,Out of Stock,"Role-Playing, PC-style RPG, Action RPG"
NHL Slapshot,"85,99 €",3 / 5,In stock,"Sports, Traditional, Team, Ice Hockey, Sim"
Red Orchestra 2: Heroes of Stalingrad,"73,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Historic, Arcade"
Broken Age,"69,99 €",3 / 5,In stock,"Third-Person, General, Fantasy, 3D, Adventure, Point-and-Click"
The Flame in the Flood: Complete Edition,"62,99 €",3 / 5,Out of Stock,"Action Adventure, General, Survival"
Audiosurf 2,"71,99 €",3 / 5,In stock,"Miscellaneous, Music, Action, Rhythm"
Jade Cocoon 2,"79,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
WWF SmackDown! Just Bring It,"73,99 €",3 / 5,In stock,"Action, Fighting, Wrestling"
Myth III: The Wolf Age,"68,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Fantasy, General"
Record of Lodoss War,"83,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Speed Devils Online Racing,"81,99 €",3 / 5,Out of Stock,"Driving, Racing, Arcade"
Rune (2000),"75,99 €",3 / 5,In stock,"Action Adventure, Fantasy, General"
Art Style: light trax,"76,99 €",3 / 5,Out of Stock,"Miscellaneous, General"
JYDGE,"66,99 €",3 / 5,In stock,"Action, Shooter, ""Shoot-Em-Up"", Top-Down"
Future Unfolding,"66,99 €",3 / 5,Out of Stock,"Action Adventure, Open-World"
Pode,"75,99 €",3 / 5,N/A,"Adventure, 3D, Third-Person"
Story of Seasons,"80,99 €",3 / 5,Out of Stock,"Breeding/Constructing, Strategy, General"
Aliens: Infestation,"82,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Necrobarista: Final Pour,"76,99 €",3 / 5,Out of Stock,"Action, Adventure, General, Visual Novel"
Stirring Abyss,"68,99 €",3 / 5,In stock,"Strategy, Turn-Based, Tactics"
The Swords of Ditto: Mormo's Curse,"70,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Serious Sam's Bogus Detour,"83,99 €",3 / 5,In stock,"Action, Shooter, ""Shoot-Em-Up"", Top-Down"
Atelier Shallie: Alchemists of the Dusk Sea,"77,99 €",3 / 5,Out of Stock,"Role-Playing, General, Japanese-Style"
The Lost Chronicles of Zerzura,"68,99 €",3 / 5,In stock,"Adventure, General"
Nancy Drew: Warnings at Waverly Academy,"69,99 €",3 / 5,Out of Stock,"Adventure, 3D, First-Person, Modern"
Race Driver: Create & Race,"70,99 €",3 / 5,In stock,"Driving, Racing, Simulation, General, Automobile"
Overlord,"83,99 €",3 / 5,Out of Stock,"Action Adventure, Fantasy, General"
Mega Man ZX,"89,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Battalion Wars,"86,99 €",3 / 5,Out of Stock,"Action, Shooter, Third-Person, Modern"
Super Mario Strikers,"86,99 €",3 / 5,In stock,"Sports, Traditional, Soccer, Arcade"
Mario Superstar Baseball,"84,99 €",3 / 5,Out of Stock,"Sports, Traditional, Baseball, Arcade"
Assassin's Creed: Brotherhood - The Da Vinci Disappearance,"78,99 €",3 / 5,In stock,"Action Adventure, Historic, Open-World"
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees","76,99 €",3 / 5,Out of Stock,"Miscellaneous, Adventure, General, Compilation"
Order Up!,"85,99 €",3 / 5,In stock,"Action, Miscellaneous, General"
Din's Curse,"76,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Hyrule Warriors,"83,99 €",3 / 5,In stock,"Action, ""Beat-Em-Up"", 3D"
Wraith: The Oblivion - Afterlife,"78,99 €",3 / 5,Out of Stock,"Action Adventure, Survival"
ShootMania Storm,"73,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Fantasy, Arcade"
Post Void,"78,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Arcade"
Utawarerumono: Prelude to the Fallen,"59,99 €",3 / 5,In stock,"General, Strategy, Turn-Based, Tactics"
Feudal Alloy,"74,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Aggressors: Ancient Rome,"82,99 €",3 / 5,In stock,"Strategy, Turn-Based, 4X"
Crawl,"65,99 €",3 / 5,Out of Stock,"Role-Playing, General, Action RPG"
The Magic Circle: Gold Edition,"71,99 €",3 / 5,In stock,"Adventure, 3D, First-Person"
DISTRAINT,"75,99 €",3 / 5,Out of Stock,"Adventure, General"
Sayonara UmiharaKawase +,"82,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Digimon Story Cyber Sleuth: Complete Edition,"65,99 €",3 / 5,Out of Stock,"Miscellaneous, Compilation"
Payday: The Heist,"77,99 €",3 / 5,N/A,"Action, Shooter, First-Person, Fantasy, Arcade"
Snoopy vs. the Red Baron,"82,99 €",3 / 5,Out of Stock,"Action Adventure, Fantasy, General"
Paper Mario: Color Splash,"71,99 €",3 / 5,In stock,"Role-Playing, Japanese-Style"
The Wild At Heart,"73,99 €",3 / 5,Out of Stock,"Adventure, General"
Everybody's Gone to the Rapture,"54,99 €",3 / 5,In stock,"Adventure, 3D, First-Person"
Phantom Brave: We Meet Again,"82,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Fantasy, Tactics"
Midtown Madness 3,"82,99 €",3 / 5,In stock,"Driving, Mission-based"
Grand Prix Challenge,"83,99 €",3 / 5,Out of Stock,"Driving, Racing, Formula One"
Summoner 2,"84,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
SingStar Amped,"76,99 €",3 / 5,Out of Stock,"Miscellaneous, Rhythm, Music"
Artifact,"22,99 €",3 / 5,In stock,"Strategy, Turn-Based, Card Battle"
Diablo III: Rise of the Necromancer,"46,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Wii Sports,"81,99 €",3 / 5,In stock,"Sports, General, Individual, Athletics"
The Sims 2: Nightlife,"68,99 €",3 / 5,Out of Stock,"Simulation, Miscellaneous, Virtual Life, Virtual"
Konami Classics Series: Arcade Hits,"76,99 €",3 / 5,In stock,"Miscellaneous, Compilation"
Nobunaga's Ambition: Iron Triangle,"83,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Historic"
Scene It? Box Office Smash,"74,99 €",3 / 5,In stock,"Miscellaneous, Trivia / Game Show"
Langrisser I & II,"76,99 €",3 / 5,Out of Stock,"Strategy, Miscellaneous, Turn-Based, Compilation, Tactics"
Worms,"76,99 €",3 / 5,In stock,"Strategy, Turn-Based, Wargame, Fantasy, Artillery"
Suikoden V,"87,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
Demigod,"77,99 €",3 / 5,In stock,"Strategy, Real-Time, Fantasy, MOBA"
The Sims 4: Paranormal Stuff Pack,"76,99 €",3 / 5,Out of Stock,"Simulation, Virtual, Virtual Life"
The Jackbox Party Pack 7,"75,99 €",3 / 5,In stock,"Miscellaneous, Party / Minigame"
Amnesia Collection,"82,99 €",3 / 5,Out of Stock,"Miscellaneous, Compilation"
XType Plus,"82,99 €",3 / 5,In stock,"Action, Shooter, Static, ""Shoot-Em-Up"", Top-Down"
Pokemon Emerald Version,"89,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
Tales of Hearts R,"81,99 €",3 / 5,In stock,"Role-Playing, Action RPG, Console-style RPG, Japanese-Style"
1000 Tiny Claws,"63,99 €",3 / 5,Out of Stock,"Action, General"
Heavy Rain Chronicles Episode 1: The Taxidermist,"77,99 €",3 / 5,In stock,"Adventure, 3D, Modern, Third-Person"
Seasons After Fall,"71,99 €",3 / 5,Out of Stock,"Platformer, 2D, Action"
Xuan-Yuan Sword 7,"70,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Descenders,"48,99 €",3 / 5,Out of Stock,"Racing, Arcade, Automobile"
Defector,"39,99 €",3 / 5,N/A,"Action Adventure, Linear"
Sly Cooper: Thieves in Time,"79,99 €",3 / 5,Out of Stock,"Action Adventure, Fantasy, General"
NCAA Basketball 10,"77,99 €",3 / 5,In stock,"Sports, Traditional, Team, Basketball, Sim"
Baten Kaitos Origins,"85,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
The Persistence,"51,99 €",3 / 5,In stock,"Adventure, 3D, First-Person"
Deus Ex: Mankind Divided - System Rift,"64,99 €",3 / 5,Out of Stock,"Action Adventure, General"
Back to the Future: The Game - Episode V: OUTATIME,"71,99 €",3 / 5,In stock,"Action Adventure, Adventure, Sci-Fi, 3D, Third-Person"
Sam & Max Save the World Remastered,"43,99 €",3 / 5,Out of Stock,"Adventure, Point-and-Click"
Hakuoki: Edo Blossoms,"68,99 €",3 / 5,In stock,"Adventure, Visual Novel"
Speed Racer,"74,99 €",3 / 5,Out of Stock,"Driving, Racing, Arcade, Drag, Futuristic"
Road 96,"81,99 €",3 / 5,In stock,"Adventure, 3D, First-Person"
Actual Sunlight,"63,99 €",3 / 5,Out of Stock,"Action, Adventure, General"
Resident Evil: The Darkside Chronicles,"78,99 €",3 / 5,In stock,"Action, Shooter, Rail, Light Gun"
Naruto: Ultimate Ninja,"76,99 €",3 / 5,Out of Stock,"Action, Fighting, 3D"
Chicken Run,"69,99 €",3 / 5,In stock,"Action, General"
A Rose in the Twilight,"79,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Dreamfall: The Longest Journey,"85,99 €",3 / 5,In stock,"Adventure, 3D, Fantasy, Third-Person"
TrackMania DS,"72,99 €",3 / 5,Out of Stock,"Driving, Racing, Arcade, Automobile"
Deemo Reborn,"76,99 €",3 / 5,In stock,"Action, Rhythm, Music"
Ace Combat X: Skies of Deception,"84,99 €",3 / 5,Out of Stock,"Simulation, Flight, Modern Jet, Combat"
Battle of Britain II: Wings of Victory,"40,99 €",3 / 5,In stock,"Simulation, Flight, WWII, Combat"
Battlezone 98 Redux,"87,99 €",3 / 5,Out of Stock,"Simulation, Vehicle, Combat"
Dementium II,"85,99 €",3 / 5,In stock,"Action Adventure, Horror, Survival"
Shin Megami Tensei: Persona 2 - Innocent Sin,"52,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG, Japanese-Style"
Blitzkrieg 2,"72,99 €",3 / 5,In stock,"Strategy, Real-Time, Historic, Tactics"
One Piece: Pirate Warriors 4,"77,99 €",3 / 5,Out of Stock,"Action, ""Beat-Em-Up"", 3D"
Cattails,"72,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Sonic & Sega All-Stars Racing with Banjo-Kazooie,"77,99 €",3 / 5,Out of Stock,"Driving, Racing, Arcade, Kart, Automobile"
Angry Video Game Nerd I & II Deluxe,"78,99 €",3 / 5,In stock,"Miscellaneous, Compilation"
Infinite Space,"82,99 €",3 / 5,Out of Stock,"Role-Playing, Simulation, Sci-Fi, General, Large Spaceship"
Labyrinth City: Pierre the Maze Detective,"75,99 €",3 / 5,In stock,"Adventure, General"
F.E.A.R. Extraction Point,"75,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Modern, Arcade"
Evil Genius,"83,99 €",3 / 5,N/A,"Strategy, Real-Time, Modern, General"
Digimon Story Cyber Sleuth,"81,99 €",3 / 5,N/A,"Role-Playing, Japanese-Style, Trainer"
Norn9: Var Commons,"72,99 €",3 / 5,N/A,"Adventure, General, Visual Novel"
Noby Noby Boy,"71,99 €",3 / 5,N/A,"Action, General"
Tempest 4000,"53,99 €",3 / 5,N/A,"Action, Shooter, ""Shoot-Em-Up"", Top-Down"
Shardlight,"68,99 €",3 / 5,N/A,"Adventure, Point-and-Click"
Naruto: Ultimate Ninja 3,"86,99 €",3 / 5,N/A,"Action, Fighting, 3D"
LUNA The Shadow Dust,"70,99 €",3 / 5,Out of Stock,"Adventure, General, Point-and-Click"
.hack//Infection Part 1,"83,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Sonic Mega Collection,"86,99 €",3 / 5,Out of Stock,"Miscellaneous, Compilation"
Jackie Chan Adventures,"80,99 €",3 / 5,In stock,"Action, ""Beat-Em-Up"""
Indiana Jones and the Infernal Machine,"80,99 €",3 / 5,Out of Stock,"Action Adventure, Historic"
Jazzpunk,"77,99 €",3 / 5,In stock,"General, Adventure, 3D, First-Person, Sci-Fi"
Gran Turismo Sport,"61,99 €",3 / 5,Out of Stock,"Racing, Simulation, Automobile"
MIND: Path to Thalamus,"69,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Etrian Odyssey,"85,99 €",3 / 5,Out of Stock,"Role-Playing, First-Person, Western-Style"
Field of Glory II: Medieval,"73,99 €",3 / 5,In stock,"Strategy, Turn-Based, Tactics"
Atom Zombie Smasher,"71,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, General"
Left 4 Dead 2: The Passing,"75,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Tactical"
Blade Strangers,"79,99 €",3 / 5,Out of Stock,"Action, Fighting, 2D"
Stikbold! A Dodgeball Adventure,"70,99 €",3 / 5,In stock,"Action, Arcade"
Atelier Sophie: The Alchemist of the Mysterious Book,"78,99 €",3 / 5,Out of Stock,"Role-Playing, Japanese-Style"
Inazuma Eleven Go: Shadow,"72,99 €",3 / 5,In stock,"Sports, Traditional, Soccer, Arcade"
Yooka-Laylee,"74,99 €",3 / 5,Out of Stock,"Action, Platformer, 3D"
Dance Dance Revolution Ultramix 3,"86,99 €",3 / 5,In stock,"Miscellaneous, Rhythm, Dancing"
Zubo,"76,99 €",3 / 5,Out of Stock,"Action, Miscellaneous, Rhythm, Music"
The House of the Dead: Overkill - Extended Cut,"74,99 €",3 / 5,In stock,"Action, Shooter, Light Gun"
DiRT Showdown,"66,99 €",3 / 5,Out of Stock,"Driving, Racing, Simulation, Rally / Offroad, Automobile"
The Falconeer: Warrior Edition,"75,99 €",3 / 5,In stock,"Simulation, Flight, Combat"
Blizzard Arcade Collection,"75,99 €",3 / 5,Out of Stock,"Miscellaneous, Compilation"
Shiren The Wanderer: The Tower of Fortune and the Dice of Fate,"78,99 €",3 / 5,In stock,"Role-Playing, Roguelike"
QV,"75,99 €",3 / 5,Out of Stock,"Action, Action Adventure, General, Platformer, 3D"
Drake Hollow,"66,99 €",3 / 5,In stock,"Action Adventure, General"
Death Come True,"41,99 €",3 / 5,Out of Stock,"Adventure, General"
Evan's Remains,"75,99 €",3 / 5,In stock,"Adventure, General"
Headliner: NoviNews,"76,99 €",3 / 5,Out of Stock,"Adventure, General"
We. The Revolution,"74,99 €",3 / 5,In stock,"Adventure, General"
MotoGP 19,"74,99 €",3 / 5,Out of Stock,"Racing, Simulation, Automobile"
X-Morph: Defense,"81,99 €",3 / 5,In stock,"Strategy, Real-Time, Defense"
City of Brass,"66,99 €",3 / 5,Out of Stock,"Action Adventure, General"
Bulb Boy,"73,99 €",3 / 5,In stock,"Adventure, Point-and-Click"
Stars in Shadow,"83,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, General, 4X"
Road to Ballhalla,"71,99 €",3 / 5,In stock,"Puzzle, Action, Platformer, 3D"
Dengeki Bunko: Fighting Climax,"84,99 €",3 / 5,Out of Stock,"Action, Fighting, 2D"
Airscape: The Fall of Gravity,"66,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Call of Duty: Advanced Warfare - Reckoning,"57,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Arcade"
Call of Duty: Advanced Warfare - Ascendance,"67,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Arcade"
GRID Autosport,"60,99 €",3 / 5,Out of Stock,"Driving, Racing, Simulation, GT / Street, Automobile"
Blood of the Werewolf,"66,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,"62,99 €",3 / 5,Out of Stock,"Action, Action Adventure, General, Open-World"
Akai Katana,"81,99 €",3 / 5,In stock,"Action, Shooter, Scrolling, ""Shoot-Em-Up"", Vertical, Horizontal"
Supreme Commander 2,"70,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Sci-Fi, General, Command"
The Sims 2 Apartment Life,"77,99 €",3 / 5,In stock,"Simulation, Miscellaneous, Virtual Life, Virtual"
City Life: World Edition,"75,99 €",3 / 5,Out of Stock,"Strategy, Breeding/Constructing, Management, Government, Business / Tycoon"
Bust-A-Move DS,"73,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, Matching"
Star Wars Rogue Squadron III: Rebel Strike,"76,99 €",3 / 5,Out of Stock,"Simulation, Sci-Fi, Small Spaceship"
Savage: The Battle for Newerth,"76,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Fantasy, Arcade"
Hegemonia: Legions of Iron,"76,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Sci-Fi, General"
The Sims: Vacation,"78,99 €",3 / 5,In stock,"Simulation, Miscellaneous, Virtual Life, Virtual"
Victorious Boxers: Ippo's Road to Glory,"80,99 €",3 / 5,Out of Stock,"Sports, Traditional, Boxing"
World Driver Championship,"82,99 €",3 / 5,In stock,"Driving, Racing, GT / Street"
VirtuaVerse,"78,99 €",3 / 5,Out of Stock,"Adventure, General, Point-and-Click"
Overland,"67,99 €",3 / 5,In stock,"Strategy, Turn-Based, Tactics"
